name,color,price,preSalePrice,link
Crossover Sports Bra,Desert Sage Green,40.0,,https://us.shop.gymshark.com/products/gymshark-crossover-sports-bra-desert-sage-green-ss23
Elevate Cycling Shorts,Willow Green,48.0,,https://us.shop.gymshark.com/products/gymshark-elevate-cycling-shorts-willow-green-ss23
Elevate Asymmetric Tank,Desert Sage Green,38.0,,https://us.shop.gymshark.com/products/gymshark-elevate-asymmetric-tank-desert-sage-green-ss23
Elevate Flared Leggings,Evening Blue,68.0,,https://us.shop.gymshark.com/products/gymshark-elevate-flared-leggings-evening-blue-ss23
Elevate Leggings,Evening Blue,64.0,,https://us.shop.gymshark.com/products/gymshark-elevate-leggings-evening-blue-ss23
Elevate Longline Sports Bra,Evening Blue,44.0,,https://us.shop.gymshark.com/products/gymshark-elevate-longline-sports-bra-evening-blue-ss23
Elevate 3/4 Sleeve Crop Top,Brushed Brown,56.0,,https://us.shop.gymshark.com/products/gymshark-elevate-3-4-sleeve-crop-top-brushed-brown-ss23
Longline Sports Bra,Truffle Brown,40.0,,https://us.shop.gymshark.com/products/gymshark-longline-sports-bra-truffle-brown-ss23
Longline Sports Bra,Brick Red,40.0,,https://us.shop.gymshark.com/products/gymshark-longline-sports-bra-brick-red-ss23
Elevate Cycling Shorts,Evening Blue,48.0,,https://us.shop.gymshark.com/products/gymshark-elevate-cycling-shorts-evening-blue-ss23
Adapt Camo Seamless Long Sleeve Top,Lava | River Stone Grey/Evening Blue,46.0,,https://us.shop.gymshark.com/products/gymshark-adapt-camo-seamless-long-sleeve-top-river-stone-grey-evening-blue-ss23
Crossover Sports Bra,Navy,40.0,,https://us.shop.gymshark.com/products/gymshark-crossover-sports-bra-navy-ss23
Crossover Sports Bra,Slate Lavender,40.0,,https://us.shop.gymshark.com/products/gymshark-crossover-sports-bra-slate-lavender-ss23
Elevate Top,Sandy Brown,44.0,,https://us.shop.gymshark.com/products/gymshark-elevate-top-sandy-brown-ss23
Elevate 3/4 Sleeve Crop Top,Desert Sage Green,56.0,,https://us.shop.gymshark.com/products/gymshark-elevate-3-4-sleeve-crop-top-desert-sage-green-ss23
Longline Sports Bra,Tropic Green,40.0,,https://us.shop.gymshark.com/products/gymshark-longline-sports-bra-tropic-green-ss23
Crossover Sports Bra,Thunder Blue,40.0,,https://us.shop.gymshark.com/products/gymshark-crossover-sports-bra-thunder-blue-ss23
Crossover Sports Bra,Scandi Pink,40.0,,https://us.shop.gymshark.com/products/gymshark-crossover-sports-bra-scandi-pink-ss23
Rest Day Seamless Bralette,Oak Brown,38.0,,https://us.shop.gymshark.com/products/gymshark-rest-day-seamless-bralette-oak-brown-ss23
Rest Day Seamless Midi Tank,Pomegranate Red,44.0,,https://us.shop.gymshark.com/products/gymshark-rest-day-seamless-midi-tank-pomegranate-red-ss23
Rest Day Seamless Midi Tank,Oak Brown,44.0,,https://us.shop.gymshark.com/products/gymshark-rest-day-seamless-midi-tank-oak-brown-ss23
74oz Water Bottle,Pastel Green,18.0,,https://us.shop.gymshark.com/products/gymshark-2-2l-water-bottle-pastel-green-ss23
14oz Shaker Bottle,Bright Fuchsia,12.0,,https://us.shop.gymshark.com/products/gymshark-400ml-shaker-bottle-bright-fuchsia-ss23
Towel,Misty Pink,20.0,,https://us.shop.gymshark.com/products/gymshark-towel-misty-pink-ss23
No Show Socks 3pk,Grey/Green/Green,12.0,,https://us.shop.gymshark.com/products/gymshark-no-show-socks-3pk-grey-green-green-ss23
Sweat Towel,Dusty Maroon,16.0,,https://us.shop.gymshark.com/products/gymshark-sweat-towel-dusty-maroon-ss23
Comfy Rest Day Socks,Hazy Pink,12.0,,https://us.shop.gymshark.com/products/gymshark-comfy-rest-day-socks-hazy-pink-ss23
Scrunchies 3pk,Black/Maroon/Evening Blue,14.0,,https://us.shop.gymshark.com/products/gymshark-scrunchies-3pk-black-maroon-evening-blue-ss23
Scrunchies 3pk,White/Blush Pink/Misty Pink,14.0,,https://us.shop.gymshark.com/products/gymshark-scrunchies-3pk-white-blush-pink-misty-pink-ss23
Sharkhead Cap,Terracotta Pink,26.0,,https://us.shop.gymshark.com/products/gymshark-sharkhead-cap-terracotta-pink-ss23
Bucket Hat,White,32.0,,https://us.shop.gymshark.com/products/gymshark-bucket-hat-white-ss23
Bucket Hat,Firefly Green,32.0,,https://us.shop.gymshark.com/products/gymshark-bucket-hat-firefly-green-ss23
Legacy Crew Socks 2pk,Iceberg Blue/White,24.0,,https://us.shop.gymshark.com/products/gymshark-legacy-crew-socks-2pk-iceberg-blue-white-ss23
Legacy Crew Socks 2pk,White,24.0,,https://us.shop.gymshark.com/products/gymshark-legacy-crew-socks-2pk-white-ss23
Bold Gym Bag,Dusty Olive,68.0,,https://us.shop.gymshark.com/products/gymshark-bold-holdall-dusty-olive-ss23
Crew Socks 3pk,Green/Grey/Blue,16.0,,https://us.shop.gymshark.com/products/gymshark-crew-socks-3pk-green-grey-blue-ss23
Ankle Socks 3pk,Blue/Jewel Green/Pebble Grey,14.0,,https://us.shop.gymshark.com/products/gymshark-trainer-socks-3pk-blue-jewel-green-pebble-grey-ss23
X-Series 0.3 Backpack,Persimmon Red,64.0,,https://us.shop.gymshark.com/products/gymshark-xseries-0-3-backpack-persimmon-red-ss23
X-Series Wash Bag,Persimmon Red,24.0,,https://us.shop.gymshark.com/products/gymshark-xseries-wash-bag-persimmon-red-ss23
Legacy Cap,Iceberg Blue,26.0,,https://us.shop.gymshark.com/products/gymshark-legacy-cap-iceberg-blue-ss23
Mesh Trucker,Black,30.0,,https://us.shop.gymshark.com/products/gymshark-mesh-trucker-black-ss23
Premium Crew Sock 1pk,White/Black,12.0,,https://us.shop.gymshark.com/products/gymshark-premium-crew-sock-1pk-white-black-ss23
Everyday Mini Holdall,Black,30.0,,https://us.shop.gymshark.com/products/gymshark-everyday-mini-holdall-black-ss23
Everyday Mini Holdall,Dusty Maroon,30.0,,https://us.shop.gymshark.com/products/gymshark-everyday-mini-holdall-dusty-maroon-ss23
Everyday Keychain,Black,14.0,,https://us.shop.gymshark.com/products/gymshark-everyday-keychain-black-ss23
Large Everyday Gym Bag ,Black,62.0,,https://us.shop.gymshark.com/products/gymshark-large-everyday-holdall-black-ss23
Large Everyday Gym Bag,Dusty Maroon,62.0,,https://us.shop.gymshark.com/products/gymshark-large-everyday-holdall-dusty-maroon-ss23
Reversible Bucket Hat,Pebble Grey,30.0,,https://us.shop.gymshark.com/products/gymshark-reversible-bucket-hat-pebble-grey-ss23
Reversible Bucket Hat,White/Orange/Peach,30.0,,https://us.shop.gymshark.com/products/gymshark-reversible-bucket-hat-white-orange-peach-ss23
Handwriting Sock,Firefly Green/White,12.0,,https://us.shop.gymshark.com/products/gymshark-handwriting-sock-firefly-green-white-ss23
33oz Water Bottle,Black,14.0,,https://us.shop.gymshark.com/products/gymshark-1l-water-bottle-black-ss23
Insulated Straw Cup,River Stone Grey/Evening Blue,26.0,,https://us.shop.gymshark.com/products/gymshark-iced-coffee-mug-river-stone-grey-evening-blue-ss23
Insulated Straw Cup,Misty Pink/Terracotta Pink,26.0,,https://us.shop.gymshark.com/products/gymshark-iced-coffee-mug-misty-pink-terracotta-pink-ss23
Handwriting Baseball Cap,White/Firefly Green,26.0,,https://us.shop.gymshark.com/products/gymshark-handwriting-baseball-cap-white-firefly-green-ss23
Small Everyday Gym Bag,Black,42.0,,https://us.shop.gymshark.com/products/gymshark-small-everyday-holdall-black-ss23
Small Everyday Gym Bag,Scandi Pink,42.0,,https://us.shop.gymshark.com/products/gymshark-small-everyday-holdall-scandi-pink-ss23
Small Everyday Gym Bag,Cement Brown,42.0,,https://us.shop.gymshark.com/products/gymshark-small-everyday-holdall-cement-brown-ss23
Everyday Mini Backpack,Cement Brown,30.0,,https://us.shop.gymshark.com/products/gymshark-everyday-mini-backpack-cement-brown-ss23
Barbell Pad,Black,20.0,,https://us.shop.gymshark.com/products/gymshark-barbell-pad-black-ss23
Barbell Pad,Magenta Pink,20.0,,https://us.shop.gymshark.com/products/gymshark-barbell-pad-magenta-pink-ss23
Everyday Wash Bag,Cement Brown,16.0,,https://us.shop.gymshark.com/products/gymshark-everyday-wash-bag-cement-brown-ss23
Everyday Wash Bag,Black,16.0,,https://us.shop.gymshark.com/products/gymshark-everyday-wash-bag-black-ss23
Everyday Wash Bag,Dusty Maroon,16.0,,https://us.shop.gymshark.com/products/gymshark-everyday-wash-bag-dusty-maroon-ss23
Medium Everyday Holdall,Light Grey,52.0,,https://us.shop.gymshark.com/products/gymshark-medium-everyday-holdall-light-grey-ss23
Sports Bottle,Flora Green/Desert Sage Green,20.0,,https://us.shop.gymshark.com/products/gymshark-sports-bottle-flora-green-desert-sage-green-ss23
Sports Bottle,River Stone Grey/Drift Grey,20.0,,https://us.shop.gymshark.com/products/gymshark-sports-bottle-river-stone-grey-drift-grey-ss23
Lifting Straps,Magenta Pink,16.0,,https://us.shop.gymshark.com/products/gymshark-lifting-straps-magenta-pink-aw22
Wrist Straps,Magenta Pink,20.0,,https://us.shop.gymshark.com/products/gymshark-wrist-straps-magenta-pink-aw22
Adapt Camo Seamless Leggings,Black/Onyx Grey,64.0,,https://us.shop.gymshark.com/products/gymshark-adapt-camo-seamless-leggings-black-onyx-grey-aw22
Adapt Camo Seamless Lace Up Back Top,Black/Onyx Grey,50.0,,https://us.shop.gymshark.com/products/gymshark-adapt-camo-seamless-lace-back-top-black-onyx-grey-aw22
Crew Socks 5pk,Teal/Pink/Teal/Purple/Lilac,24.0,,https://us.shop.gymshark.com/products/gymshark-crew-socks-5pk-teal-pink-teal-purple-lilac-ss23
Legacy Lifting Gloves,Magenta Pink,22.0,,https://us.shop.gymshark.com/products/gymshark-legacy-lifting-gloves-magenta-pink-ss23
Training Shorts,Camo Green Print,28.0,,https://us.shop.gymshark.com/products/gymshark-training-shorts-camo-green-print
Sport Sports Bra,Orange Print,24.5,35.0,https://us.shop.gymshark.com/products/gymshark-sport-sports-bra-orange-print-ss22
Elevate Longline Sports Bra,Cement Brown Spray Dye,35.2,44.0,https://us.shop.gymshark.com/products/gymshark-elevate-longline-sports-bra-cement-brown-spray-dye-aw22
Elevate Longline Sports Bra,Lakeside Blue Spray Dye,35.2,44.0,https://us.shop.gymshark.com/products/gymshark-elevate-longline-sports-bra-lakeside-blue-spray-dye-aw22
Elevate Longline Sports Bra,Moss Olive,44.0,,https://us.shop.gymshark.com/products/gymshark-elevate-longline-sports-bra-moss-olive-aw22
Elevate Longline Sports Bra,Rose Brown,44.0,,https://us.shop.gymshark.com/products/gymshark-elevate-longline-sports-bra-rose-brown-aw22
Adapt Marl Seamless Leggings,Archive Brown/Cherry Brown,36.0,60.0,https://us.shop.gymshark.com/products/gymshark-adapt-marl-seamless-leggings-archive-brown-cherry-brown-aw22
Sweat Seamless Midi Tank,Rich Teal,25.2,36.0,https://us.shop.gymshark.com/products/gymshark-sweat-seamless-midi-tank-rich-teal-aw22
