name,color,price,preSalePrice,link
Barbell Pad,Magenta Pink,20.0,,https://us.shop.gymshark.com/products/gymshark-barbell-pad-magenta-pink-ss23
Everyday Wash Bag,Cement Brown,16.0,,https://us.shop.gymshark.com/products/gymshark-everyday-wash-bag-cement-brown-ss23
Everyday Wash Bag,Dusty Maroon,16.0,,https://us.shop.gymshark.com/products/gymshark-everyday-wash-bag-dusty-maroon-ss23
Medium Everyday Holdall,Light Grey,52.0,,https://us.shop.gymshark.com/products/gymshark-medium-everyday-holdall-light-grey-ss23
Sports Bottle,Flora Green/Desert Sage Green,20.0,,https://us.shop.gymshark.com/products/gymshark-sports-bottle-flora-green-desert-sage-green-ss23
Lifting Straps,Magenta Pink,16.0,,https://us.shop.gymshark.com/products/gymshark-lifting-straps-magenta-pink-aw22
Crew Socks 5pk,Teal/Pink/Teal/Purple/Lilac,24.0,,https://us.shop.gymshark.com/products/gymshark-crew-socks-5pk-teal-pink-teal-purple-lilac-ss23
Legacy Lifting Gloves,Magenta Pink,22.0,,https://us.shop.gymshark.com/products/gymshark-legacy-lifting-gloves-magenta-pink-ss23
Heavy Glute Band,Black,16.0,20.0,https://us.shop.gymshark.com/products/gymshark-heavy-glute-band-black
No Show Socks 3pk,Black,12.0,,https://us.shop.gymshark.com/products/gymshark-no-show-socks-3pk-black-aw21
Ankle Socks 3pk,White,14.0,,https://us.shop.gymshark.com/products/gymshark-trainer-socks-3pk-white-aw21
Premium Sharkhead Crew Single,Black,12.0,,https://us.shop.gymshark.com/products/gymshark-premium-sharkhead-crew-single-black-aw22
Light Glute Band,Light Grey,16.0,20.0,https://us.shop.gymshark.com/products/gymshark-light-glute-band-light-grey
X-Series Duffle Bag,Black,68.8,86.0,https://us.shop.gymshark.com/products/gymshark-x-series-duffle-bag-black-aw21
Comfy Rest Day Socks,Navy,12.0,,https://us.shop.gymshark.com/products/gymshark-comfy-rest-day-socks-navy-aw22
Sharkhead Gymsack,Coastal Blue,18.0,20.0,https://us.shop.gymshark.com/products/gymshark-sharkhead-gymsack-costal-blue-aw22
Bow Scrunchie,Sweet Pink,9.6,12.0,https://us.shop.gymshark.com/products/gymshark-bow-scrunchie-sweet-pink-aw22
Sharkhead Hairband 3pk,Black,9.6,12.0,https://us.shop.gymshark.com/products/gymshark-sharkhead-hairband-3pk-black-aw22
Studio Mat,Black,54.4,68.0,https://us.shop.gymshark.com/products/gymshark-studio-mat-black
Sharkhead Gymsack,Black,20.0,,https://us.shop.gymshark.com/products/gymshark-sharkhead-gymsack-black-aw22
Jacquard Quarter Socks 3pk,Black,16.0,,https://us.shop.gymshark.com/products/gymshark-jacquard-quarter-socks-black-aw21
Bow Scrunchie,Black,9.6,12.0,https://us.shop.gymshark.com/products/gymshark-bow-scrunchie-black-aw22
Ankle Socks 3pk,Black,14.0,,https://us.shop.gymshark.com/products/gymshark-trainer-socks-3pk-black-aw21
Seamless Docker Beanie,Charcoal Grey Marl,18.0,30.0,https://us.shop.gymshark.com/products/gymshark-seamless-docker-beanie-charcoal-grey-marl-ss22
Bow Scrunchie,Cherry Brown,9.6,12.0,https://us.shop.gymshark.com/products/gymshark-bow-scrunchie-cherry-brown-aw22
Ankle Performance Socks,Black,11.2,14.0,https://us.shop.gymshark.com/products/gymshark-ankle-performance-socks-black
Logo 5 Panel Cap,Magenta Pink,22.4,28.0,https://us.shop.gymshark.com/products/gymshark-logo-5-panel-cap-magenta-pink-aw22
Flat Peak Cap,Pebble Grey,16.8,28.0,https://us.shop.gymshark.com/products/gymshark-flat-peak-cap-pebble-grey-aw22
Logo 5 Panel Cap,Black,22.4,28.0,https://us.shop.gymshark.com/products/gymshark-logo-5-panel-cap-black-aw22
Jacquard Quarter Socks 3pk,White,16.0,,https://us.shop.gymshark.com/products/gymshark-jacquard-quarter-socks-white-aw21
Sharkhead Sweat Bands,White,5.6,8.0,https://us.shop.gymshark.com/products/gymshark-sharkhead-sweat-bands-white-aw22
Sharkhead Headband,White,7.2,12.0,https://us.shop.gymshark.com/products/gymshark-sharkhead-headband-white-aw22
Weightlifting Socks,Black,17.6,22.0,https://us.shop.gymshark.com/products/gymshark-weightlifting-socks-black
Bold Gym Bag,Black,68.0,,https://us.shop.gymshark.com/products/gymshark-bold-holdall-black-aw22
Small Everyday Gym Bag,Chilli Red,42.0,,https://us.shop.gymshark.com/products/gymshark-everyday-holdall-chilli-red-aw22
No Show Socks 3pk,White,12.0,,https://us.shop.gymshark.com/products/gymshark-no-show-socks-3pk-white-aw21
Sharkhead Headband,Reactive Green,7.2,12.0,https://us.shop.gymshark.com/products/gymshark-sharkhead-headband-reactive-green-aw22
Crew Performance Socks,Black,12.8,16.0,https://us.shop.gymshark.com/products/gymshark-crew-performance-socks-black-ss22
Woven Tab Sneaker Socks 3pk,Black,16.0,,https://us.shop.gymshark.com/products/gymshark-woven-tab-sneaker-socks-black-aw21-1
Social Club Cosmetic Bag,Cherry Brown,12.8,16.0,https://us.shop.gymshark.com/products/gymshark-social-club-cosmetic-bag-cherry-brown-aw22
Medium Everyday Gym Bag,Light Grey,52.0,,https://us.shop.gymshark.com/products/gymshark-everyday-holdall-light-grey-aw22
Sharkhead Cap,Cayenne Red,18.2,26.0,https://us.shop.gymshark.com/products/gymshark-sharkhead-cap-cayenne-red-aw22
Sharkhead Sweat Bands,Reactive Green,5.6,8.0,https://us.shop.gymshark.com/products/gymshark-sharkhead-sweat-bands-reactive-green-aw22
Legacy Cap,Lakeside Blue,20.8,26.0,https://us.shop.gymshark.com/products/gymshark-legacy-cap-lakeside-blue-aw22
X-Series 0.1 Backpack,Lakeside Blue,36.8,46.0,https://us.shop.gymshark.com/products/gymshark-x-series-bag-0-1-lakeside-blue-aw22
Bold Bag,Coastal Blue,27.2,34.0,https://us.shop.gymshark.com/products/gymshark-bold-bag-coastal-blue-aw22
Legacy Cap,Blossom Pink,20.8,26.0,https://us.shop.gymshark.com/products/gymshark-legacy-cap-blossom-pink-aw22
Small Everyday Gym Bag,Light Grey,42.0,,https://us.shop.gymshark.com/products/gymshark-everyday-holdall-light-grey-aw21
Weightlifting Socks,White,17.6,22.0,https://us.shop.gymshark.com/products/gymshark-weightlifting-socks-white
Ankle Performance Socks,White,11.2,14.0,https://us.shop.gymshark.com/products/gymshark-ankle-performance-socks-white
Woven Tab Sneaker Socks 3pk,White,16.0,,https://us.shop.gymshark.com/products/gymshark-woven-tab-sneaker-socks-white-aw21
Mesh Trucker,Pepper Red,18.0,30.0,https://us.shop.gymshark.com/products/gymshark-mesh-trucker-pepper-red-aw22
Sharkhead Backpack,Coastal Blue,32.4,36.0,https://us.shop.gymshark.com/products/gymshark-sharkhead-backpack-coastal-blue-aw22
Social Club Beanie,Cherry Brown,12.0,20.0,https://us.shop.gymshark.com/products/gymshark-social-club-beanie-cherry-brown-aw22
Pom Beanie,Blossom Pink/Sweet Pink/White,15.6,26.0,https://us.shop.gymshark.com/products/gymshark-pom-beanie-blossom-pink-sweet-pink-white-aw22
Social Club Double Stripe 1pk Sock,Cherry Brown/White,9.6,12.0,https://us.shop.gymshark.com/products/gymshark-social-club-double-stripe-1pk-sock-cherry-brown-white-aw22
Logo Trucker Cap,Core Olive,24.0,30.0,https://us.shop.gymshark.com/products/gymshark-logo-trucker-cap-core-olive-aw22
Bold Gym Bag,Coastal Blue,54.4,68.0,https://us.shop.gymshark.com/products/gymshark-bold-holdall-coastal-blue-aw22
Small Everyday Gym Bag,Digital Violet,42.0,,https://us.shop.gymshark.com/products/gymshark-everyday-holdall-digital-violet-aw22
Sharkhead Beanie,Reactive Green,16.0,20.0,https://us.shop.gymshark.com/products/gymshark-sharkhead-beanie-reactive-green-aw22
Sharkhead Beanie,Navy,20.0,,https://us.shop.gymshark.com/products/gymshark-sharkhead-beanie-navy
X-Series 0.3 Backpack,Core Olive,64.0,,https://us.shop.gymshark.com/products/gymshark-x-series-bag-0-3-core-olive-aw22
X-Series Wash Bag,Black,24.0,,https://us.shop.gymshark.com/products/gymshark-x-series-wash-bag-black-ss22
Everyday Zip Pouch,Chilli Red,16.0,,https://us.shop.gymshark.com/products/gymshark-everyday-wash-bag-chilli-red-aw22
Legacy Deep Cuff Beanie,Light Grey Marl,15.4,22.0,https://us.shop.gymshark.com/products/gymshark-legacy-deep-cuff-beanie-light-grey-marl-aw22
Bold Barrel Bag,Coastal Blue,32.0,40.0,https://us.shop.gymshark.com/products/gymshark-bold-barrel-bag-coastal-blue-aw22
Everyday Wash Bag,Black,16.0,,https://us.shop.gymshark.com/products/gymshark-everyday-wash-bag-black-aw21
Pom Beanie,Black/Coin Grey,15.6,26.0,https://us.shop.gymshark.com/products/gymshark-pom-beanie-black-coin-grey-aw22
Legacy Deep Cuff Beanie,Deep Pink,15.4,22.0,https://us.shop.gymshark.com/products/gymshark-legacy-deep-cuff-beanie-deep-pink-aw22
Social Club Metal Shaker,Cherry Brown,20.8,26.0,https://us.shop.gymshark.com/products/gymshark-social-club-metal-shaker-cherry-brown-aw22
Shaker Bottle,Black,14.0,,https://us.shop.gymshark.com/products/gymshark-shaker-bottle-black-aw21
Shaker Bottle,Reactive Green,14.0,,https://us.shop.gymshark.com/products/gymshark-shaker-bottle-reactive-green-aw22
