name,color,price,preSalePrice,link
Legacy Drop Arm Tank,Light Grey Marl,24.0,,https://us.shop.gymshark.com/products/gymshark-legacy-drop-arm-tank-light-grey-marl-ss23
Legacy Drop Arm Tank,Iceberg Blue,24.0,,https://us.shop.gymshark.com/products/gymshark-legacy-drop-arm-tank-iceberg-blue-ss23
Legacy Drop Arm Tank,Aerospace Orange,24.0,,https://us.shop.gymshark.com/products/gymshark-legacy-drop-arm-tank-aerospace-orange-ss23
Legacy T-Shirt,Aqua Green,26.0,,https://us.shop.gymshark.com/products/gymshark-legacy-t-shirt-aqua-green-ss23
Legacy T-Shirt,Aerospace Orange,26.0,,https://us.shop.gymshark.com/products/gymshark-legacy-t-shirt-aerospace-orange-ss23
Essential Oversized T-Shirt,Oxidized Green,26.0,,https://us.shop.gymshark.com/products/gymshark-essential-oversized-t-shirt-oxidized-green-ss23
Essential Oversized T-Shirt,Charcoal Grey Marl,26.0,,https://us.shop.gymshark.com/products/gymshark-essential-oversized-t-shirt-charcoal-grey-marl-ss23
Essential Oversized T-Shirt,Terracotta Pink,26.0,,https://us.shop.gymshark.com/products/gymshark-essential-oversized-t-shirt-terracotta-pink-ss23
Crest T-Shirt,Misty Pink,22.0,,https://us.shop.gymshark.com/products/gymshark-crest-t-shirt-misty-pink-ss23
Essential Oversized T-Shirt,Icy Blue,26.0,,https://us.shop.gymshark.com/products/gymshark-essential-oversized-t-shirt-icy-blue-ss23
Arrival T-Shirt,Core Olive,22.0,,https://us.shop.gymshark.com/products/gymshark-arrival-t-shirt-core-olive-ss23
Arrival Tank,Bright Fuchsia,20.0,,https://us.shop.gymshark.com/products/gymshark-arrival-tank-bright-fuchsia-ss23
Crest Sweatshirt,Misty Pink,36.0,,https://us.shop.gymshark.com/products/gymshark-crest-sweatshirt-misty-pink-ss23
Crest Hoodie,Misty Pink,40.0,,https://us.shop.gymshark.com/products/gymshark-crest-hoodie-misty-pink-ss23
Crest Hoodie,Desert Sage Green,40.0,,https://us.shop.gymshark.com/products/gymshark-crest-hoodie-desert-sage-green-ss23
Essential Oversized Joggers,Toasted Brown,44.0,,https://us.shop.gymshark.com/products/gymshark-essential-oversized-joggers-toasted-brown-ss23
Essential Oversized Joggers,Denim Blue,44.0,,https://us.shop.gymshark.com/products/gymshark-essential-oversized-joggers-denim-blue-ss23
Boxers 2 Pack,Light Grey Marl,24.0,,https://us.shop.gymshark.com/products/gymshark-boxers-2pk-light-grey-marl-ss23
74oz Water Bottle,Pastel Green,18.0,,https://us.shop.gymshark.com/products/gymshark-2-2l-water-bottle-pastel-green-ss23
14oz Shaker Bottle,Bright Fuchsia,12.0,,https://us.shop.gymshark.com/products/gymshark-400ml-shaker-bottle-bright-fuchsia-ss23
Towel,Misty Pink,20.0,,https://us.shop.gymshark.com/products/gymshark-towel-misty-pink-ss23
No Show Socks 3pk,Grey/Green/Green,12.0,,https://us.shop.gymshark.com/products/gymshark-no-show-socks-3pk-grey-green-green-ss23
Sweat Towel,Dusty Maroon,16.0,,https://us.shop.gymshark.com/products/gymshark-sweat-towel-dusty-maroon-ss23
Comfy Rest Day Socks,Hazy Pink,12.0,,https://us.shop.gymshark.com/products/gymshark-comfy-rest-day-socks-hazy-pink-ss23
Scrunchies 3pk,Black/Maroon/Evening Blue,14.0,,https://us.shop.gymshark.com/products/gymshark-scrunchies-3pk-black-maroon-evening-blue-ss23
Scrunchies 3pk,White/Blush Pink/Misty Pink,14.0,,https://us.shop.gymshark.com/products/gymshark-scrunchies-3pk-white-blush-pink-misty-pink-ss23
Sharkhead Cap,Terracotta Pink,26.0,,https://us.shop.gymshark.com/products/gymshark-sharkhead-cap-terracotta-pink-ss23
Bucket Hat,White,32.0,,https://us.shop.gymshark.com/products/gymshark-bucket-hat-white-ss23
Bucket Hat,Firefly Green,32.0,,https://us.shop.gymshark.com/products/gymshark-bucket-hat-firefly-green-ss23
Legacy Crew Socks 2pk,Iceberg Blue/White,24.0,,https://us.shop.gymshark.com/products/gymshark-legacy-crew-socks-2pk-iceberg-blue-white-ss23
