,Name,Color,Price,Pre Sale Price,Link
112,Social Club Double Stripe 1pk Sock,Cherry Brown/White,9.6,12.0,https://us.shop.gymshark.com/products/gymshark-social-club-double-stripe-1pk-sock-cherry-brown-white-aw22
113,Logo Trucker Cap,Core Olive,24.0,30.0,https://us.shop.gymshark.com/products/gymshark-logo-trucker-cap-core-olive-aw22
114,Bold Gym Bag,Coastal Blue,54.4,68.0,https://us.shop.gymshark.com/products/gymshark-bold-holdall-coastal-blue-aw22
115,Small Everyday Gym Bag,Digital Violet,42.0,,https://us.shop.gymshark.com/products/gymshark-everyday-holdall-digital-violet-aw22
116,X-Series Bag 0.3,Black,64.0,,https://us.shop.gymshark.com/products/gymshark-x-series-0-3-bag-black-aw22
117,Sharkhead Beanie,Reactive Green,16.0,20.0,https://us.shop.gymshark.com/products/gymshark-sharkhead-beanie-reactive-green-aw22
118,Sharkhead Beanie,Navy,20.0,,https://us.shop.gymshark.com/products/gymshark-sharkhead-beanie-navy
119,X-Series 0.3 Backpack,Core Olive,64.0,,https://us.shop.gymshark.com/products/gymshark-x-series-bag-0-3-core-olive-aw22
120,X-Series Wash Bag,Black,24.0,,https://us.shop.gymshark.com/products/gymshark-x-series-wash-bag-black-ss22
121,Everyday Zip Pouch,Chilli Red,16.0,,https://us.shop.gymshark.com/products/gymshark-everyday-wash-bag-chilli-red-aw22
122,Legacy Deep Cuff Beanie,Light Grey Marl,15.4,22.0,https://us.shop.gymshark.com/products/gymshark-legacy-deep-cuff-beanie-light-grey-marl-aw22
123,Bold Barrel Bag,Coastal Blue,32.0,40.0,https://us.shop.gymshark.com/products/gymshark-bold-barrel-bag-coastal-blue-aw22
124,Everyday Wash Bag,Black,16.0,,https://us.shop.gymshark.com/products/gymshark-everyday-wash-bag-black-aw21
125,Pom Beanie,Black/Coin Grey,15.6,26.0,https://us.shop.gymshark.com/products/gymshark-pom-beanie-black-coin-grey-aw22
126,Legacy Deep Cuff Beanie,Deep Pink,15.4,22.0,https://us.shop.gymshark.com/products/gymshark-legacy-deep-cuff-beanie-deep-pink-aw22
127,Social Club Metal Shaker,Cherry Brown,20.8,26.0,https://us.shop.gymshark.com/products/gymshark-social-club-metal-shaker-cherry-brown-aw22
128,Shaker Bottle,Black,14.0,,https://us.shop.gymshark.com/products/gymshark-shaker-bottle-black-aw21
