,Name,Color,Price,Pre Sale Price,Link
43,Arrival Woven Joggers,Core Olive,40.0,,https://us.shop.gymshark.com/products/gymshark-arrival-woven-joggers-core-olive-ss23
44,Power T-Shirt,Evening Blue,36.0,,https://us.shop.gymshark.com/products/gymshark-power-t-shirt-evening-blue-ss23
45,Power Zip Hoodie,Earthy Brown,56.0,,https://us.shop.gymshark.com/products/gymshark-power-zip-hoodie-earthy-brown-ss23
46,Power T-Shirt,Sunny Yellow,36.0,,https://us.shop.gymshark.com/products/gymshark-power-t-shirt-sunny-yellow-ss23
47,Power Zip Hoodie,Cosmic Grey,56.0,,https://us.shop.gymshark.com/products/gymshark-power-zip-hoodie-cosmic-grey-ss23
48,Power Washed Joggers,Ecru Brown,52.0,,https://us.shop.gymshark.com/products/gymshark-power-washed-joggers-ecru-brown-ss23
49,Power Washed Crew,Ecru Brown,56.0,,https://us.shop.gymshark.com/products/gymshark-power-washed-crew-ecru-brown-ss23
50,"Power Washed 5"" Shorts",Cosmic Grey,42.0,,https://us.shop.gymshark.com/products/gymshark-power-washed-5-shorts-cosmic-grey-ss23
51,"Power Washed 5"" Shorts",Sunny Yellow,42.0,,https://us.shop.gymshark.com/products/gymshark-power-washed-5-shorts-sunny-yellow-ss23
52,Power Washed Stringer,Ecru Brown,26.0,,https://us.shop.gymshark.com/products/gymshark-power-washed-stringer-ecru-brown-ss23
53,Power Washed Stringer,Evening Blue,26.0,,https://us.shop.gymshark.com/products/gymshark-power-washed-stringer-evening-blue-ss23
54,Power Washed Stringer,Sunny Yellow,26.0,,https://us.shop.gymshark.com/products/gymshark-power-washed-stringer-sunny-yellow-ss23
55,Power Washed T-Shirt,Ecru Brown,40.0,,https://us.shop.gymshark.com/products/gymshark-power-washed-t-shirt-ecru-brown-ss23
56,Power Washed T-Shirt,Evening Blue,40.0,,https://us.shop.gymshark.com/products/gymshark-power-washed-t-shirt-evening-blue-ss23
57,Power Washed T-Shirt,Sunny Yellow,40.0,,https://us.shop.gymshark.com/products/gymshark-power-washed-t-shirt-sunny-yellow-ss23
